filename,age,pitch,formant_frequency,intensity,duration,spectral_features
cv-valid-test/sample-000001.mp3,25,41.128212,1955.8581596642205,0.03999098,1.9440362811791383,-14.599541
cv-valid-test/sample-000003.mp3,20,17.719046,2308.4646651452695,0.009893883,7.704036281179138,-24.55305
cv-valid-test/sample-000005.mp3,26,16.266485,1966.3600517547868,0.045127492,4.656009070294784,-13.521242
cv-valid-test/sample-000006.mp3,26,81.23269,2991.7342488666072,0.005734263,4.68,-21.191109
cv-valid-test/sample-000007.mp3,37,43.807964,2628.5250915694824,0.03196517,2.6160090702947847,-10.293879
cv-valid-test/sample-000008.mp3,38,32.222584,2375.8121447307803,0.09588791,6.264036281179139,-13.113586
cv-valid-test/sample-000009.mp3,55,49.38326,2056.7493024770924,0.03443015,4.44,-18.641136
cv-valid-test/sample-000011.mp3,21,52.42015,2167.342993820809,0.03447554,4.344036281179139,-13.113935
cv-valid-test/sample-000014.mp3,20,28.37809,2316.67100072778,0.028359788,2.304036281179138,-12.999575
cv-valid-test/sample-000016.mp3,27,35.179543,2638.0734804516574,0.011991015,2.832018140589569,-25.82368
cv-valid-test/sample-000018.mp3,40,49.423096,2464.1051341660204,0.021841634,3.048027210884354,-25.202862
cv-valid-test/sample-000022.mp3,25,33.90144,2228.2617841784936,0.015074272,4.056009070294785,-17.441347
cv-valid-test/sample-000024.mp3,48,76.953476,3240.094956591899,0.0076031596,1.8960090702947845,-25.879953
cv-valid-test/sample-000026.mp3,57,63.2046,2364.195367692283,0.020045003,3.6720181405895693,-21.417421
cv-valid-test/sample-000031.mp3,25,21.554573,2603.814926609469,0.22742791,4.128027210884354,-1.2527018
cv-valid-test/sample-000033.mp3,35,68.99538,3194.5971350409486,0.0011105058,4.776009070294784,-29.764748
cv-valid-test/sample-000034.mp3,53,35.820065,1890.2730508567463,0.02725734,2.4960090702947846,-23.62553
cv-valid-test/sample-000035.mp3,14,77.82019,3270.0297851307287,0.003318117,3.264036281179138,-27.625484
cv-valid-test/sample-000036.mp3,21,30.112082,2510.741936525378,0.0050171237,3.48,-30.930445
cv-valid-test/sample-000037.mp3,48,16.10032,1240.714609611339,0.06676928,4.104036281179138,-15.378356
cv-valid-test/sample-000038.mp3,30,123.526344,2899.1509481281705,0.03222353,2.0160090702947846,-20.919416
cv-valid-test/sample-000041.mp3,24,58.245975,2370.6131822216885,0.029270679,2.6160090702947847,-20.706083
cv-valid-test/sample-000042.mp3,20,72.432594,2333.5899628632906,0.016642394,2.76,-20.812765
cv-valid-test/sample-000043.mp3,42,37.90988,2819.1156646001123,0.016438622,2.3280272108843536,-17.261614
cv-valid-test/sample-000051.mp3,14,47.246605,2317.7511686031717,0.007772334,3.96,-29.105814
cv-valid-test/sample-000052.mp3,30,18.573074,2777.6550323831225,0.025319735,6.576009070294784,-18.621407
cv-valid-test/sample-000055.mp3,20,14.291104,1322.371154658153,0.050366994,2.9760090702947846,-20.232618
cv-valid-test/sample-000056.mp3,47,10.418431,2482.1822980218813,0.05667323,2.952018140589569,-7.192331
cv-valid-test/sample-000058.mp3,56,39.168457,3421.8319932290265,0.053092424,4.416009070294785,-18.367052
cv-valid-test/sample-000060.mp3,52,12.872773,2243.4135016981345,0.0594955,5.328027210884354,-12.166804
cv-valid-test/sample-000061.mp3,24,35.576683,2830.7234305172456,0.054081704,3.4560090702947845,-20.30666
cv-valid-test/sample-000062.mp3,30,18.28403,2056.0295731137594,0.046331663,2.76,-7.131399
cv-valid-test/sample-000063.mp3,30,36.199284,1821.9720942135455,0.05386647,3.3360090702947844,-10.238215
cv-valid-test/sample-000065.mp3,54,53.134476,2204.8076330516,0.09783436,4.104036281179138,-18.351824
cv-valid-test/sample-000073.mp3,32,28.124943,1824.1545285243903,0.038196974,6.264036281179139,-18.674707
cv-valid-test/sample-000074.mp3,21,17.321445,2023.5778909964183,0.017991636,2.3760090702947845,-13.452843
cv-valid-test/sample-000080.mp3,22,17.350836,2246.9224451262767,0.026419958,4.248027210884354,-15.066525
cv-valid-test/sample-000081.mp3,72,66.69629,2992.580072675284,0.010735812,5.544036281179138,-26.115713
cv-valid-test/sample-000082.mp3,65,61.16379,2257.252164811471,0.03223827,3.6240362811791385,-22.677292
cv-valid-test/sample-000084.mp3,77,91.00558,3143.069233424672,0.0066915737,1.7520181405895692,-25.097588
cv-valid-test/sample-000088.mp3,27,12.18538,1685.454848241981,0.1445647,4.344036281179139,-6.7014666
cv-valid-test/sample-000090.mp3,31,56.09617,2389.9765813965914,0.052583475,2.0640362811791384,-18.033255
cv-valid-test/sample-000095.mp3,31,22.701876,1584.3685604823522,0.033511963,6.216009070294785,-16.25614
cv-valid-test/sample-000098.mp3,30,71.472046,2200.7893482748223,0.0646846,3.0240362811791384,-16.04296
cv-valid-test/sample-000099.mp3,52,69.02139,2677.215503873695,0.011432496,2.9280272108843537,-25.595306
cv-valid-test/sample-000102.mp3,52,44.43024,3021.71720987052,0.026823537,6.576009070294784,-22.115133
cv-valid-test/sample-000104.mp3,37,30.432917,2714.6436727059454,0.06855392,5.424036281179139,-9.475958
cv-valid-test/sample-000105.mp3,26,24.148125,2066.915739298005,0.037376694,3.864036281179138,-17.89537
cv-valid-test/sample-000106.mp3,45,40.57204,2028.167977933953,0.017227272,2.784036281179138,-26.366966
cv-valid-test/sample-000107.mp3,39,16.823063,1898.0841463359025,0.056286156,5.496009070294784,-7.786741
cv-valid-test/sample-000111.mp3,62,28.028591,2071.487175713549,0.056282148,4.848027210884354,-9.924492
cv-valid-test/sample-000112.mp3,27,36.188675,2270.1722211086535,0.046731014,2.3760090702947845,-15.558393
cv-valid-test/sample-000115.mp3,45,13.108912,2988.6212874526645,0.030922526,2.304036281179138,-21.051579
