filename,age
cv-valid-train/sample-000005.mp3,21
cv-valid-train/sample-000008.mp3,76
cv-valid-train/sample-000013.mp3,35
cv-valid-train/sample-000014.mp3,60
cv-valid-train/sample-000019.mp3,54
cv-valid-train/sample-000020.mp3,30
cv-valid-train/sample-000023.mp3,38
cv-valid-train/sample-000026.mp3,28
cv-valid-train/sample-000027.mp3,20
cv-valid-train/sample-000029.mp3,37
cv-valid-train/sample-000034.mp3,41
cv-valid-train/sample-000036.mp3,25
cv-valid-train/sample-000039.mp3,16
cv-valid-train/sample-000043.mp3,21
cv-valid-train/sample-000044.mp3,35
cv-valid-train/sample-000047.mp3,62
cv-valid-train/sample-000049.mp3,49
cv-valid-train/sample-000050.mp3,20
cv-valid-train/sample-000051.mp3,31
cv-valid-train/sample-000053.mp3,47
cv-valid-train/sample-000054.mp3,38
cv-valid-train/sample-000056.mp3,76
cv-valid-train/sample-000057.mp3,59
cv-valid-train/sample-000059.mp3,24
cv-valid-train/sample-000062.mp3,57
cv-valid-train/sample-000065.mp3,28
cv-valid-train/sample-000068.mp3,24
cv-valid-train/sample-000072.mp3,56
cv-valid-train/sample-000073.mp3,29
cv-valid-train/sample-000077.mp3,48
cv-valid-train/sample-000081.mp3,53
cv-valid-train/sample-000082.mp3,53
cv-valid-train/sample-000088.mp3,18
cv-valid-train/sample-000092.mp3,24
cv-valid-train/sample-000097.mp3,24
cv-valid-train/sample-000100.mp3,45
cv-valid-train/sample-000101.mp3,28
cv-valid-train/sample-000105.mp3,26
cv-valid-train/sample-000106.mp3,39
cv-valid-train/sample-000111.mp3,21
cv-valid-train/sample-000115.mp3,37
cv-valid-train/sample-000116.mp3,28
cv-valid-train/sample-000118.mp3,34
cv-valid-train/sample-000121.mp3,38
cv-valid-train/sample-000124.mp3,34
cv-valid-train/sample-000128.mp3,38
cv-valid-train/sample-000132.mp3,62
cv-valid-train/sample-000133.mp3,31
cv-valid-train/sample-000135.mp3,46
cv-valid-train/sample-000137.mp3,58
cv-valid-train/sample-000140.mp3,42
cv-valid-train/sample-000146.mp3,29
cv-valid-train/sample-000154.mp3,21
cv-valid-train/sample-000155.mp3,27
cv-valid-train/sample-000159.mp3,15
cv-valid-train/sample-000167.mp3,29
cv-valid-train/sample-000168.mp3,34
cv-valid-train/sample-000169.mp3,51
cv-valid-train/sample-000175.mp3,23
cv-valid-train/sample-000179.mp3,28
cv-valid-train/sample-000180.mp3,58
cv-valid-train/sample-000181.mp3,44
cv-valid-train/sample-000184.mp3,13
cv-valid-train/sample-000187.mp3,36
cv-valid-train/sample-000191.mp3,34
cv-valid-train/sample-000192.mp3,34
cv-valid-train/sample-000193.mp3,35
cv-valid-train/sample-000194.mp3,21
cv-valid-train/sample-000195.mp3,43
cv-valid-train/sample-000196.mp3,24
cv-valid-train/sample-000197.mp3,32
cv-valid-train/sample-000201.mp3,60
cv-valid-train/sample-000202.mp3,53
cv-valid-train/sample-000203.mp3,39
cv-valid-train/sample-000204.mp3,38
cv-valid-train/sample-000205.mp3,34
cv-valid-train/sample-000213.mp3,30
cv-valid-train/sample-000214.mp3,53
cv-valid-train/sample-000217.mp3,21
cv-valid-train/sample-000218.mp3,27
cv-valid-train/sample-000219.mp3,31
cv-valid-train/sample-000221.mp3,35
cv-valid-train/sample-000225.mp3,49
cv-valid-train/sample-000229.mp3,16
cv-valid-train/sample-000235.mp3,39
cv-valid-train/sample-000236.mp3,27
cv-valid-train/sample-000238.mp3,28
cv-valid-train/sample-000239.mp3,34
cv-valid-train/sample-000242.mp3,20
cv-valid-train/sample-000243.mp3,21
cv-valid-train/sample-000246.mp3,38
cv-valid-train/sample-000247.mp3,52
cv-valid-train/sample-000248.mp3,29
cv-valid-train/sample-000250.mp3,49
cv-valid-train/sample-000254.mp3,65
cv-valid-train/sample-000255.mp3,32
cv-valid-train/sample-000262.mp3,40
cv-valid-train/sample-000265.mp3,65
cv-valid-train/sample-000266.mp3,42
cv-valid-train/sample-000270.mp3,58
cv-valid-train/sample-000273.mp3,29
cv-valid-train/sample-000274.mp3,14
cv-valid-train/sample-000277.mp3,28
cv-valid-train/sample-000278.mp3,44
cv-valid-train/sample-000283.mp3,28
cv-valid-train/sample-000285.mp3,28
cv-valid-train/sample-000286.mp3,69
cv-valid-train/sample-000290.mp3,20
cv-valid-train/sample-000292.mp3,48
cv-valid-train/sample-000293.mp3,67
cv-valid-train/sample-000294.mp3,47
cv-valid-train/sample-000297.mp3,48
cv-valid-train/sample-000299.mp3,27
cv-valid-train/sample-000300.mp3,31
cv-valid-train/sample-000303.mp3,29
cv-valid-train/sample-000304.mp3,21
cv-valid-train/sample-000305.mp3,25
cv-valid-train/sample-000317.mp3,43
cv-valid-train/sample-000322.mp3,59
cv-valid-train/sample-000325.mp3,41
cv-valid-train/sample-000333.mp3,52
cv-valid-train/sample-000341.mp3,46
cv-valid-train/sample-000343.mp3,26
cv-valid-train/sample-000345.mp3,29
cv-valid-train/sample-000350.mp3,22
cv-valid-train/sample-000355.mp3,19
cv-valid-train/sample-000360.mp3,28
cv-valid-train/sample-000362.mp3,54
cv-valid-train/sample-000368.mp3,36
cv-valid-train/sample-000369.mp3,52
cv-valid-train/sample-000374.mp3,51
cv-valid-train/sample-000375.mp3,35
cv-valid-train/sample-000378.mp3,48
